Error: Release Year Invalid         - show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
Error: Release Year Invalid         - s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25-Sep-21,ERROR,PG-13,90 min,Documentaries,As her father nears the end of his life  filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
Error: No Countries Listed          - s3,TV Show,Ganglands,Julien Leclercq,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Action & Adventure",To protect his family from a powerful drug lord  skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.
Error: No Countries Listed          - s4,TV Show,Jailbirds New Orleans,,,24-Sep-21,2021,TV-MA,1 Season,"Docuseries,Reality TV",Feuds  flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.
Error: No Countries Listed          - s6,TV Show,Midnight Mass,Mike Flanagan,,24-Sep-21,2021,TV-MA,1 Season,"TV Dramas,TV Horror,TV Mysteries",The arrival of a charismatic young priest brings glorious miracles  ominous mysteries and renewed religious fervor to a dying town desperate to believe.
Error: No Countries Listed          - s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jos?? Luis Ucha",,24-Sep-21,2021,PG,91 min,Children & Family Movies,Equestria's divided. But a bright-eyed hero believes Earth Ponies  Pegasi and Unicorns should be pals É?? and  hoof to heart  sheÉ??s determined to prove it.
Error: No Countries Listed          - s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,24-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,Docuseries,International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
Error: No Countries Listed          - s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,,23-Sep-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Action & Adventure",Struggling to earn a living in Bangkok  a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.
Error: No Countries Listed          - s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,,22-Sep-21,2021,TV-PG,91 min,"Children & Family Movies,Comedies",When the clever but socially-awkward Tet?¶ joins a new school  she'll do anything to fit in. But the queen bee among her classmates has other ideas.
Error: No Countries Listed          - s15,TV Show,Crime Stories: India Detectives,,,22-Sep-21,2021,TV-MA,1 Season,"British TV Shows,Crime TV Shows,Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
Error: No Countries Listed          - s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave Garc??a, Pablo Azor??n Williams",,22-Sep-21,2020,TV-MA,67 min,"Documentaries,International Movies",Declassified documents reveal the post-WWII life of Otto Skorzeny  a close Hitler ally who escaped to Spain and became an adviser to world presidents.
Error: No Countries Listed          - s19,Movie,Intrusion,Adam Salky,,22-Sep-21,2021,TV-14,94 min,Thrillers,After a deadly home invasion at a coupleÉ??s new dream house  the traumatized wife searches for answers É?? and learns the real danger is just beginning.
Error: No Countries Listed          - s20,TV Show,Jaguar,,,22-Sep-21,2021,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Action & Adventure",In the 1960s  a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.
Error: No Countries Listed          - s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,22-Sep-21,2021,TV-14,1 Season,"Crime TV Shows,Docuseries,International TV Shows",In the late 1970s  an accused serial rapist claims multiple personalities control his behavior  setting off a legal odyssey that captivates America.
Error: No Countries Listed          - s23,Movie,Avvai Shanmughi,K.S. Ravikumar,,21-Sep-21,1996,TV-PG,161 min,"Comedies,International Movies",Newly divorced and denied visitation rights with his daughter  a doting father disguises himself as a gray-haired nanny in order to spend time with her.
Error: No Countries Listed          - s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",,21-Sep-21,2021,TV-Y,61 min,Children & Family Movies,From arcade games to sled days and hiccup cures  Cory CarsonÉ??s curious little sister Chrissy speeds off on her own for fun and adventure all over town!
